name,bio
Marcel_Proust,"Marcel Proust was a French intellectual, author and critic, best known
for his seven-volume fiction 'In search of Lost Time'. He coined the
term ""involuntary memory"", which became also known as ""Proust effect""
in modern psychology.He was born Valentin Louis Georges Eugéne Marcel Proust, on July 10,
1871, in Paris, France. His father, Achille Proust, was a famous
doctor. His mother, Jeanne Weil, was from a rich and cultured Jewish
family. Proust's interests in art and literature were encouraged by his
mother, who read and spoke English. He was fond of Carlyle, Emerson and
John Ruskin, whose two works he also translated into French. From age 9
Proust suffered from severe allergy and asthma attacks, and eventually
developed a chronic lung disease which caused his disability and
affected his career and mobility. He was lucky to survive such a life
threatening condition due to professional help from his doctor father.
Proust's physical disability imposed serious restrictions on his
lifestyle, and he expressed himself in writing. He was blessed with
talent and imagination and also with a very large inheritance, that
allowed him to write without any pressure. During the most years of his
adult life Proust was confined to his cork-wood paneled bedroom, where
he was attended mostly by his close friend, pianist and composer
Reynaldo Hahn.Proust's main work, 'A la recherche du temps perdu' was begun in 1909
and finished in 1922, just before the author's death. It also became
known in English as 'In Search of Lost Time' (aka.. Remembrance of
Things Past). The novel's life-like complexity and delicate fabric of
language is influenced by his reading of Lev Tolstoy, especially by 'War
and Peace' and 'Anna Karenina', and it bears some structural and
contentual resemblance of Tolstoy's major novels. It is spanning over
3000 pages in seven volumes and teeming with more than 2000 names.
Proust's novel is set in the fictional town of Combray, near Paris, and
covers all aspects of life of the upper class; nobility, sexuality,
women, men, art and culture. It was praised from Graham Greene, W. Somerset Maugham and
Ernest Hemingway, as being the greatest fiction of their time.Marcel Proust died at age 51, of complications related to pneumonia and
his chronic health condition, on November 18, 1922, and was laid to
rest in Cimetiére du Pére-Lachaise, Paris, France. The town of Illiers,
which became the model for imaginary town of Combray in the novel, was
renamed Illiers-Combray in commemoration of the Proust's
masterpiece."
Giovanni_Boccaccio,"Giovanni Boccaccio was born in June 1313 in Certaldo, Florence, Tuscany, Italy. He was a writer, known for Малые часы (2017), Decameron Nights (1953) and Decameron n° 3 - Le più belle donne del Boccaccio (1972). He died on 21 December 1375 in Certaldo, Florence, Tuscany, Italy."
Alexander_Pushkin,"Born to noble parents (his father Sergei was a retired major, and his
mother, Nadezhda, was the granddaughter of an ennobled Ethiopian
general) on the 26th of May, 1799 in Moscow, Alexander Sergeevich
Pushkin became involved with a liberal underground revolutionary group
that saw him exiled to the Caucasus. He spent most of his time there writing poetry and novels. In 1826
Pushkin was pardoned by the Tsar and allowed to return home after six
years of exile. He married Natalia Goncharova, whose coquettish
behavior led to her husband challenging an admirer of hers to a duel in
January 1837. Though both were wounded, only Pushkin died two days
later from his injuries."
Jalaluddin_Muhammad_Rumi,"Jalaluddin Rumi, Scholar in Religious Sciences and famed Sufi Mystic
Poet, was born on September 29th 1207 A.D. in Balkh (modern day
Afghanistan). Escaping Mongol invasions he travelled extensively to
Muslim lands, Bagdad, Mecca, Damascus, Malatia (Turkey). Married Gevher
Khatun of Samarquand and moved to Quonya (Konya in present day Turkey).
Encountering the wandering dervish and Saint Shamsuddin Tabrezi, who
introduced him to the path of mystical and spiritual knowledge. Author
of six volumes of didactic epic works. His most famous work in seven
books and 24,660 couplets is written in Dari and Arabic and commonly
referred to as the ""Persian Quran"" by Jami. His son was killed with the
mystic dervish Shams. He himself died on December 16th 1273 A.D. and
his bier was followed by men of five faiths. The night became the
""Sebul Arus"" or ""Night of Union"", and ever since the Mawlawi Dervishes
celebrate this date as a Festival. Rumi leaves the world a legacy of
profound poetry and writings of the most intense spirituality and
simplicity ever to be written. Rumi's ""Divan-e-Shams"" and ""Mathnawi""
are his most popular works worldwide."
Franz_Kafka,"Franz Kafka was born into a German-speaking Jewish family in Prague,
Austrian Empire, in 1883. His father, Hermann Kafka, was a business
owner and a domestic tyrant, frequently abusing his son. Kafka later
admitted to his father, ""My writing was all about you..."". He believed
that his father broke his will and caused insecurity and guilt, that
affected his whole life. Their tensions come out in ""The Trial"" and in
""The Castle"" in form of a hopeless conflict with an overwhelming force.
His mother, Julie Lowy, came from an intellectual, spiritual family of
the Jewish merchant and brewer Jakob Lowy. Although her influence was
diminished by his dominating father, she shared her son's delicate
nature. Kafka had a few relationships with women and was engaged, but
never made a family.He finished the German National Gymnasium in 1901, and graduated from
the German University in Prague as Doctor of Law in 1906. He worked for
insurance companies for the rest of his life. His profession shaped the
formal, cold language of his writings which avoided any sentimental
interpretations, leaving it to the reader. In 1908 Kafka published
eight short stories compiled under the title ""Meditation"". In 1911 he
became interested in Yiddish theater, that absorbed him more than
abstract Judaism. In 1912 he began writing ""The Judgment"", which was
more than an autobiography, providing a therapeutical outlet for his
wrecked soul. The same year he started ""Metamorphosis"" about a
traveling salesman, who transformed into a giant bug. In 1914 he wrote
""In the Penal Colony"" and ""The Trial"", which is regarded to be his best
work. His style remains unique, though literary connections may be
traced to Edgar Allan Poe, E.T.A. Hoffmann and Nikolay Gogol, as well as to Chinese parables,
to the Bible and Talmud.As a Jew Kafka experienced social tensions and isolation from the
German community, so very few of his writings could find readers during
his life. His three sisters later died in the Nazi concentration camps.
He suffered from clinical depression, social anxiety, insomnia, and
tuberculosis, complicated by laryngitis, that caused him the loss of
his voice before his death in 1924. He was comforted by his girlfriend
Dora Diamant, who had broken away from her Hasidic shtetl in Poland.
She was 19 when they met in 1923 and Kafka wrote to her parents, asking
for their permission to marry her. Their answer was negative, because
Kafka presented himself as a non-religious Jew. He asked Dora to
destroy his manuscripts after his death, but she kept about 20
notebooks of his writings and 35 private letters, that were reportedly
confiscated by the Gestapo in 1933 and are not yet recovered. His
university friend Max Brod became his editor, biographer and literary
agent, who preserved and published most of Kafka's works posthumously,
including the unfinished novels ""The Trial"", ""The Castle"", and
""America""."
Anton_Chekhov,"Anton Pavlovich Chekhov was born in 1860, the third of six children to
a family of a grocer, in Taganrog, Russia, a southern seaport and
resort on the Azov Sea. His father, a 3rd-rank Member of the Merchant's
Guild, was a religious fanatic and a tyrant who used his children as
slaves. Young Chekhov was a part-time assistant in his father's
business and also a singer in a church choir. At age 15, he was
abandoned by his bankrupt father and lived alone for 3 years while
finishing the Classical Gymnazium in Taganrog. Chekhov obtained a
scholarship at the Moscow University Medical School in 1879, from which
he graduated in 1884 as a Medical Doctor. He practiced general medicine
for about ten years.While a student, Chekhov published numerous short stories and humorous
sketches under a pseudonym. He reserved his real name for serious
medical publications, saying ""medicine is my wife; literature - a
mistress."" While a doctor, he kept writing and had success with his
first books, and his first play ""Ivanov."" He gradually decreased his
medical practice in favor of writing. Chekhov created his own style
based on objectivity, brevity, originality, and compassion. It was
different from the mainstream Russian literature's scrupulous
analytical depiction of ""heroes."" Chekhov used a delicate fabric of
hints, subtle nuances in dialogs, and precise details. He described his
original style as an ""objective manner of writing."" He avoided
stereotyping and instructive political messages in favor of cool comic
irony. Praised by writers Lev Tolstoy and Nikolai Leskov, he was awarded the
Pushkin Prize from the Russian Academy of Sciences in 1888.In 1890, Chekhov made a lengthy journey to Siberia and to the remote
prison-island of Sakhalin. There, he surveyed thousands of convicts and
conducted research for a dissertation about the life of prisoners. His
research grew bigger than a dissertation, and in 1894, he published a
detailed social-analytical essay on the Russian penitentiary system in
Siberia and the Far East, titled ""Island of Sakhalin."" Chekhov's
valuable research was later used and quoted by Aleksandr Solzhenitsyn in his ""Gulag
Archipelago."" In 1897-1899, Chekhov returned to his medical practice in
order to stop the epidemic of cholera.Chekhov developed special relationship with Stanislavsky and Vladimir Nemirovich-Danchenko at
the Moscow Art Theater. He emerged as a mature playwright who
influenced the modern theater. In the plays ""Uncle Vanya,"" ""Three
Sisters,"" ""Seagull,"" and ""Cherry Orchard,"" he mastered the use of
understatement, anticlimax, and implied emotion. The leading actress of
the Moscow Art Theater, Olga Knipper-Chekhova, became his wife. In 1898, Chekhov
moved to his Mediterranean-style home at the Black Sea resort of Yalta
in the Crimea. There he was visited by writers Lev Tolstoy, Maxim Gorky,
Ivan Bunin, and artists Konstantin Korovin and Isaac Levitan."
Gabriel_Garcia_Marquez,"Major Latin-American author of novels and short stories, a central
figure in the so-called magical realism movement in Latin American
literature. He was awarded the Nobel Prize for literature in 1982.
Studied law and journalism in Bogotá and Cartagena. He began his career
as a journalist in 1948, was a foreign correspondent in Europe during
the late 1950s, Cuba and N.Y. early 1960s, and a screenwriter,
journalist and publicist in Mexico City during the 1960s. During the
1980s he moved to Mexico when restrictions where imposed on his
continued traveling due to his left-view political views."
Umberto_Eco,"He is a professor of semiotics, the study of communication through
signs and symbols, at the University of Bologna. Also a philiosopher, a
historian, literary critic, and an aesthetician. He is an avid book
collector and owns more than 30,000 volumes. The subjects of his
scholarly investigations range from St. Thomas Aquinas, to James Joyce,
to Superman. He lives in Milan."
J_R_R_Tolkien,"English writer, scholar and philologist, Tolkien's father was a bank
manager in South Africa. Shortly before his father died (1896) his mother took
him and his younger brother to his father's native village of Sarehole,
near Birmingham, England. The landscapes and Nordic mythology of the
Midlands may have been the source for Tolkien's fertile imagination to
write about 'the Shire' and 'hobbits' in his later book the Hobbit
(1937). After his mother's death in 1904 he was looked after by Father
Francis Xavier Morgan a RC priest of the Congregation of the Oratory.
Tolkien was educated at King Edward VI school in Birmingham. He studied
linguistics at Exeter College, Oxford, and took his B.A. in 1915. In 1916 he fought in World War I with the Lancashire Fusiliers. It
is believed that his experiences during the Battle of the Somne may have
been fueled the darker side of his subsequent novels. Upon his return
he worked as an assistant on the Oxford English Dictionary (1918-20)
and took his M.A. in 1919. In 1920 he became a teacher in English at
the University of Leeds. He then went on to Merton College in Oxford,
where he became Rawlinson and Bosworth Professor of Anglo-Saxon
(1925-45) and Merton professor of English Language and Literature
(1945-59). His first scholarly publication was an edition of Sir Gawain
and the Green Knight (1925). He also wrote books on Chaucer (1934) and
Beowulf (1937). In 1939 Tolkien gave the Andrew Lang Lecture at the
University of St. Andrews in Scotland titled: ""On Fairy-Stories"".
Tolkien will however be remembered most for his books the Hobbit (1937)
and the Lord of the Rings (1954-55). The Hobbit began as a bedtime
story for his children"". He wrote Lord of the Rings over a period of about 14 years.Tolkien also discussed parts of his novels with fellow Oxfordian and
fantasy writer CS Lewis during their 'meetings'. He was trying to
create a fantasy world so that he could explain how he had invented
certain languages, and in doing so created 'Middle-earth'. However
among his peers at Oxford his works were not well received as they were
not considered 'scholarly'. It was after LOTR was published in
paperback in the United States in 1965 that he developed his legendary
cult following and also imitators. Tolkien was W. P. Ker lecturer at
Glasgow University in 1953. In 1954 both the University of Liege and
University College, Dublin, awarded him honorary doctorates. He
received the CBE in 1972. He served as vice-president of the
Philological Society and was a Fellow of the Royal Society of
Literature. He was made an honorary fellow of Exeter College. Despite the immense
popularity of his books today Tolkien did not greatly benefit from
their sales. His son Christopher Tolkien was able to publish some of
his works posthumously after his manuscripts were found."
William_Faulkner,"William Faulkner, one of the 20th century's most gifted novelists,
wrote for the movies in part because he could not make enough money
from his novels and short stories to support his growing number of
dependants. The author of such acclaimed novels as ""The Sound and the
Fury"" and ""Absalom, Absalom!"", Faulkner received official screen
credits for just six theatrical releases, five of which were with
director Howard Hawks. Faulkner received the Nobel Prize for Literature for
1949 and he received two Pulitzer Prizes, for ""A Fable"" in '1955 and
""The Reivers"", which was published shortly before he died in
1962."
